type_code	class_code	type_name	class_name
1	1	L1.1	L1
2	1	L1.2	L1
3	1	L1.3	L1
4	1	L1.4	L1
5	1	L1.5	L1
6	3	L3.3	L3
7	3	L3.1	L3
8	3	L3.2	L3
9	4	L4.2	L4
10	4	L4.1	L4
11	5	L5.1	L5
12	5	L5.2	L5
13	5	L5.3	L5
14	6	L6.2	L6
15	6	L6.1	L6
16	6	L6.4	L6
17	6	L6.3	L6
18	2	L2.1	L2
19	7	L7.7	L7
20	7	L7.4	L7
21	7	L7.6	L7
22	7	L7.3	L7
23	7	L7.5	L7
24	7	L7.2	L7
25	7	L7.1	L7
26	8	L8.1	L8
27	8	L8.14	L8
28	8	L8.4	L8
29	8	L8.11	L8
30	8	L8.10	L8
31	8	L8.12	L8
32	8	L8.9	L8
33	8	L8.2	L8
34	8	L8.6	L8
35	8	L8.5	L8
36	8	L8.8	L8
37	8	L8.3	L8
38	8	L8.13	L8
39	9	L9.7	L9
40	9	L9.3	L9
41	9	L9.5	L9
42	9	L9.2	L9
43	9	L9.6	L9
44	9	L9.4	L9
45	9	L9.1	L9
46	10	L10.6	L10
47	10	L10.5	L10
48	10	L10.4	L10
49	10	L10.7	L10
50	10	L10.8	L10
51	10	L10.1	L10
52	10	L10.2	L10
53	10	L10.3	L10
54	10	L10.10	L10
55	10	L10.9	L10
61	12	L12.1	L12
62	12	L12.2	L12
63	12	L12.3	L12
64	12	L12.4	L12
95	14	L14.2	L14
98	15	V1	V1
99	16	V2	V2
100	17	A	A
108	13	L13.1	L13
122	1	L1.6	L1
130	8	L8.7	L8
150	14	L14.1	L14
152	11	L11	L11
153	14	L14.3	L14
160	14	L14.4	L14
175	18	F	F
176	19	FX1.1	FX1
			
			
			
